rank,name,elo,bestWin,bestWinElo,GCs
435,Expressions / Portsmouth High School,1438,N/A,-1,0
436,New Era / West Marion Jr/Sr High School,1438,N/A,-1,0
437,Grand Finale / Rome High School,1438,N/A,-1,0
438,Rhapsody / Cosby High School,1438,N/A,-1,0
439,Uncaged On Stage / Hastings High School,1438,N/A,-1,0
440,Entourage / Sioux City East High School,1437,N/A,-1,0
441,CenterStage! / Albertville High School,1437,N/A,-1,0
442,Emerald & Gold / Wilber-Clatonia Jr/Sr High School,1437,N/A,-1,0
443,Singers Jr. / Sullivan Middle School,1437,N/A,-1,0
444,Premiers / Columbia Academy,1437,N/A,-1,0
445,Momentum / Dallas Center-Grimes High School,1436,Royalty / Wahoo High School,1477,0
446,Center Stage / Milton-Union High School,1435,N/A,-1,0
447,Fantasy / Shepherd Hill Regional High School,1435,ENCORE! / Tantasqua Regional High School,1482,0
448,KHS Pops / Kearney High School,1435,Equinox / Gretna East High School,1500,0
449,Eclipse / Regis Middle School,1435,Adrenaline / Taft Middle School,1572,0
450,DoMENance / Webb City High School,1435,N/A,-1,0
451,Glitter & Gold / Scranton High School,1435,N/A,-1,0
452,Sound Advice / Johnston Middle School,1434,N/A,-1,0
453,Sensations / Franklin Community High School,1434,N/A,-1,0
454,Momentum / Medford Area Senior High School,1434,N/A,-1,0
455,IntoneNation / Rouse High School,1433,N/A,-1,0
456,Prestige / Sioux City East High School,1432,N/A,-1,0
457,Heart and Soul / Papillion-La Vista High School,1432,N/A,-1,0
458,Kaleidoscope / Musselman High School,1431,Top Twenty / Kenton High School,1385,0
459,Limited Edition / Mayfield High School,1431,N/A,-1,0
460,Encore / Jasper High School,1431,N/A,-1,0
461,9th Street Singers / Chase County High School,1431,N/A,-1,0
462,Sudden Impact / Ottumwa High School,1430,Celebration Co. / Benton Community High School,1400,0
463,Express / Dwight D. Eisenhower High School,1430,Singers Jr. / Sullivan Middle School,1500,0
464,Rhythm In Red / Cabell Midland High School,1430,N/A,-1,0
465,Capital Sounds / McGavock High School,1430,N/A,-1,0
466,Mac Melody / Mother McAuley Liberal Arts High School,1429,N/A,-1,0
467,Singspirations / St. Agnes Catholic School,1429,N/A,-1,0
468,The Association / Van Buren High School,1428,N/A,-1,0
469,Visual Volume / Poca High School,1428,Rhythm In Red / Cabell Midland High School,1614,0
470,Excel / Elkhorn High School,1428,N/A,-1,0
471,Countesses & Noblemen / Lincoln Southeast High School,1428,N/A,-1,0
472,Sounds / Ben Davis High School,1427,N/A,-1,0
473,New Sound / Sioux City East High School,1426,N/A,-1,0
474,Vocal Velocity / Peoria Area Performing Arts Studio,1426,N/A,-1,0
475,Revelation / Bloomington Expressive Arts Training (BEAT),1426,N/A,-1,0
476,Harmony / Hershey High School,1425,N/A,-1,0
477,New Generation / Wood River Rural High School,1425,N/A,-1,0
478,Select Blend / Blue Valley High School,1424,N/A,-1,0
479,Mini Swingers / Bunsold Middle School,1424,N/A,-1,0
480,High Society / Jonathan Alder High School,1424,N/A,-1,0
481,Titan Express / Papillion-La Vista South High School,1423,N/A,-1,0
482,Velocity / Norfolk Senior High School,1423,Jefferson Edition / Council Bluffs Jefferson High School,1289,1
483,Shades of Blue / Burleson Centennial High School,1423,N/A,-1,0
484,Spotlighters / Mooresville High School,1422,N/A,-1,0
485,High Voltage / Franklin Central High School,1422,N/A,-1,0
486,Emergence / Lincoln Southwest High School,1421,N/A,-1,0
487,Viking Show Choir / Seaman High School,1421,N/A,-1,0
488,Bella Voce / Grand Island Northwest High School,1420,N/A,-1,0
489,Rhythm of the Knight / Uniondale High School,1420,N/A,-1,0
490,Back To Bass-ics / Andover High School,1419,N/A,-1,0
491,CHS Glee Club / Cathedral High School,1419,N/A,-1,0
492,Knight Sounds / Lincoln Southeast High School,1419,N/A,-1,0
493,Evolution / Poquoson High School,1419,N/A,-1,0
494,Up Front / Matoaca High School,1418,Radiance / Powhatan High School,1500,0
495,Fast Lane / Glenwood Community High School,1418,Emergence / Lincoln Southwest High School,1500,0
496,Encore! / Georgetown High School,1417,N/A,-1,0
497,Glee / East View High School,1417,N/A,-1,0
498,Falcon Pizzazz / Timber Creek High School,1417,N/A,-1,0
499,Synergy / Clover Hill High School,1417,N/A,-1,0
